city,state,year,crime_type,reported_cases,solved_cases,unsolved_cases,Monetary Loss (INR),Victim Age,Victim Gender,Victim Profession,population,literacy_rate,internet_penetration,unemployment_rate
Mumbai,Maharashtra,2024,Financial Fraud,22,8,14,1262214.68,23,Other,Engineer,18349464,63.04,55.32,2.3
Pune,Maharashtra,2022,Data Breach,268,13,255,2828163.06,60,Other,Freelancer,7446759,75.72,46.69,10.69
Nagpur,Maharashtra,2022,Ransomware,184,71,113,819623.52,63,Female,Engineer,3162034,73.3,51.54,5.44
Nashik,Maharashtra,2023,Phishing,383,235,148,2704329.05,39,Male,Business,12184457,80.21,72.27,2.46
Thane,Maharashtra,2022,Online Harassment,50,14,36,4339094.15,39,Female,Unemployed,12291736,65.69,51.32,8.7
New Delhi,Delhi,2024,Financial Fraud,321,87,234,2693992.39,30,Male,Unemployed,12782411,69.45,85.52,8.88
Dwarka,Delhi,2022,Identity Theft,441,393,48,3891199.56,29,Male,Government Employee,13510856,69.37,42.66,11.43
Rohini,Delhi,2024,Identity Theft,118,83,35,2521194.73,56,Female,Doctor,8937903,64.89,74.7,7.39
Saket,Delhi,2024,Ransomware,469,298,171,2027032.5,29,Male,Unemployed,3100413,86.45,81.67,3.53
Karol Bagh,Delhi,2022,Ransomware,315,32,283,1954598.19,53,Female,Business,18613180,90.13,30.69,9.21
Bengaluru,Karnataka,2024,Online Harassment,403,328,75,1733868.59,33,Female,Doctor,15274441,60.11,73.33,9.2
Mysuru,Karnataka,2024,Cyberstalking,269,54,215,4359066.92,34,Other,Teacher,5178434,73.09,39.69,11.53
Mangaluru,Karnataka,2024,Phishing,316,165,151,2468598.25,22,Female,Business,8084686,62.03,82.68,11.47
Hubli,Karnataka,2022,Hacking,427,35,392,4891023.24,49,Male,Doctor,15997830,93.14,39.91,7.28
Belgaum,Karnataka,2024,Ransomware,118,118,0,2719515.64,61,Other,Teacher,10509463,73.96,70.3,5.73
Chennai,Tamil Nadu,2024,Hacking,71,31,40,1162251.82,36,Male,Teacher,19794773,67.71,34.26,8.31
Coimbatore,Tamil Nadu,2022,Financial Fraud,473,16,457,4305195.23,19,Other,Teacher,9394146,83.41,42.85,3.32
Madurai,Tamil Nadu,2024,Hacking,134,121,13,4047110.14,27,Male,Engineer,14513677,72.4,54.67,10.64
Tiruchirappalli,Tamil Nadu,2022,Financial Fraud,41,25,16,3654657.26,66,Male,Teacher,6478696,66.66,56.92,6.22
Salem,Tamil Nadu,2023,Hacking,137,19,118,2243497.19,70,Other,Engineer,1747462,82.83,62.44,2.15
Lucknow,Uttar Pradesh,2022,Data Breach,95,52,43,2453923.57,28,Female,Student,5574305,73.26,89.12,4.65
Kanpur,Uttar Pradesh,2023,Online Harassment,226,178,48,4788722.32,65,Other,Unemployed,5244119,66.65,43.06,2.58
Ghaziabad,Uttar Pradesh,2024,Phishing,392,160,232,332968.1,52,Female,Doctor,1958561,93.63,34.81,3.86
Varanasi,Uttar Pradesh,2024,Financial Fraud,355,120,235,2048688.98,51,Male,Student,2800906,74.67,65.02,7.23
Agra,Uttar Pradesh,2023,Data Breach,352,160,192,1231495.47,40,Male,Business,15391910,71.07,75.11,2.73
Kolkata,West Bengal,2023,Financial Fraud,47,34,13,1105113.85,31,Male,Government Employee,2358253,90.77,52.17,3.58
Howrah,West Bengal,2024,Online Harassment,323,270,53,88724.38,67,Other,Business,3525786,92.86,38.06,3.15
Durgapur,West Bengal,2022,Cyberstalking,149,72,77,3043907.64,60,Female,Teacher,8907829,77.69,45.07,11.08
Asansol,West Bengal,2022,Financial Fraud,334,216,118,4155273.04,17,Male,Government Employee,4439579,82.3,45.72,9.41
Siliguri,West Bengal,2024,Ransomware,297,4,293,603775.71,59,Male,Student,12438832,80.39,38.89,3.27
Ahmedabad,Gujarat,2023,Identity Theft,470,407,63,4862371.51,17,Female,Teacher,8422828,83.34,51.22,7.6
Surat,Gujarat,2023,Cyberstalking,483,476,7,1221849.79,25,Male,Freelancer,881692,66.28,85.47,9.82
Vadodara,Gujarat,2023,Data Breach,146,40,106,3947503.82,21,Female,Student,15843736,67.79,79.0,6.6
Rajkot,Gujarat,2023,Data Breach,124,3,121,3317164.25,40,Female,Business,2379373,93.84,46.75,8.41
Bhavnagar,Gujarat,2023,Identity Theft,490,14,476,620941.67,31,Male,Business,1333698,63.79,56.07,9.29
Jaipur,Rajasthan,2023,Ransomware,320,261,59,622446.63,51,Male,Business,1539364,84.81,30.1,11.26
Jodhpur,Rajasthan,2024,Data Breach,196,110,86,396370.37,57,Female,Government Employee,4231731,85.19,48.02,5.09
Udaipur,Rajasthan,2023,Identity Theft,216,178,38,1513493.25,23,Male,Freelancer,12772004,83.71,84.17,8.16
Kota,Rajasthan,2023,Ransomware,290,0,290,1554181.0,28,Female,Government Employee,15652414,75.46,70.54,7.11
Ajmer,Rajasthan,2024,Cyberstalking,347,43,304,1454742.7,57,Other,Government Employee,3183554,88.64,75.07,8.73
Patna,Bihar,2022,Data Breach,85,3,82,278757.9,45,Other,Engineer,15331230,74.51,67.79,3.94
Gaya,Bihar,2024,Ransomware,263,204,59,1257722.98,56,Other,Student,3626476,87.24,43.13,10.04
Muzaffarpur,Bihar,2024,Hacking,35,35,0,1283531.48,69,Male,Unemployed,4524117,88.05,70.05,11.88
Bhagalpur,Bihar,2024,Identity Theft,496,386,110,4462558.33,54,Other,Freelancer,18433532,75.61,39.55,10.61
Purnia,Bihar,2023,Online Harassment,394,126,268,4207321.29,32,Other,Unemployed,8077759,69.61,34.65,4.86
Bhopal,Madhya Pradesh,2023,Identity Theft,173,138,35,448859.41,24,Male,Freelancer,5177293,84.72,33.85,6.08
Indore,Madhya Pradesh,2024,Hacking,222,15,207,1073830.23,41,Female,Student,19366962,73.31,30.35,5.52
Jabalpur,Madhya Pradesh,2023,Ransomware,285,279,6,4009347.45,29,Female,Teacher,9208189,75.25,31.74,5.36
Gwalior,Madhya Pradesh,2024,Ransomware,380,84,296,4210503.03,23,Other,Student,13271125,80.72,69.78,2.84
Ujjain,Madhya Pradesh,2023,Cyberstalking,453,236,217,949558.68,31,Female,Government Employee,7152140,75.91,50.25,10.8
Mumbai,Maharashtra,2023,Ransomware,139,20,119,2378018.84,62,Other,Student,11792720,67.85,34.12,11.57
Pune,Maharashtra,2022,Phishing,496,126,370,1036835.38,16,Other,Doctor,8054240,64.42,70.17,7.64
Nagpur,Maharashtra,2022,Hacking,368,131,237,3846145.59,25,Other,Engineer,5545068,93.77,36.49,2.26
Nashik,Maharashtra,2023,Ransomware,213,183,30,1031732.4,52,Other,Teacher,3469240,84.4,48.09,8.84
Thane,Maharashtra,2022,Phishing,187,136,51,2170471.17,38,Male,Government Employee,474535,89.74,79.34,3.06
New Delhi,Delhi,2023,Hacking,372,78,294,2205661.37,61,Other,Business,18108086,87.11,57.89,10.26
Dwarka,Delhi,2024,Online Harassment,175,62,113,4162118.54,20,Female,Unemployed,8232699,86.27,64.19,8.68
Rohini,Delhi,2023,Phishing,263,166,97,950107.29,28,Female,Business,11469876,69.79,65.77,10.8
Saket,Delhi,2024,Phishing,274,97,177,473784.16,61,Female,Unemployed,18678622,86.54,71.44,8.46
Karol Bagh,Delhi,2023,Hacking,415,8,407,510614.09,29,Female,Teacher,10324569,83.24,52.14,7.53
Bengaluru,Karnataka,2023,Ransomware,391,281,110,1687416.92,59,Female,Business,10338560,68.8,37.24,3.93
Mysuru,Karnataka,2022,Cyberstalking,108,27,81,3706093.03,32,Other,Business,3423096,89.14,47.77,5.61
Mangaluru,Karnataka,2023,Phishing,372,273,99,676585.65,17,Male,Business,4287236,82.33,75.17,3.03
Hubli,Karnataka,2022,Online Harassment,250,122,128,2230320.55,26,Male,Business,16079931,63.99,33.92,6.92
Belgaum,Karnataka,2024,Phishing,87,19,68,4065153.28,34,Male,Teacher,4024574,79.53,54.97,7.96
Chennai,Tamil Nadu,2024,Data Breach,407,267,140,1932871.23,43,Female,Freelancer,10296860,79.9,33.61,11.6
Coimbatore,Tamil Nadu,2022,Data Breach,330,108,222,1359998.32,20,Male,Teacher,5882214,79.32,39.39,6.09
Madurai,Tamil Nadu,2024,Hacking,159,8,151,1195807.36,60,Female,Unemployed,2438396,84.06,85.43,9.88
Tiruchirappalli,Tamil Nadu,2024,Data Breach,227,29,198,2745583.77,56,Male,Business,4822657,62.5,39.96,5.08
Salem,Tamil Nadu,2024,Online Harassment,234,31,203,2370054.95,34,Other,Freelancer,9185066,77.52,59.63,2.8
Lucknow,Uttar Pradesh,2022,Ransomware,386,165,221,3038382.52,16,Male,Teacher,19350479,80.55,31.24,9.65
Kanpur,Uttar Pradesh,2023,Phishing,400,387,13,917194.1,48,Other,Unemployed,9383385,66.35,65.12,8.35
Ghaziabad,Uttar Pradesh,2023,Financial Fraud,250,89,161,2071323.06,35,Other,Engineer,5446386,71.54,71.62,4.88
Varanasi,Uttar Pradesh,2023,Phishing,242,22,220,1606859.93,35,Male,Freelancer,17316984,88.87,30.07,10.69
Agra,Uttar Pradesh,2023,Ransomware,37,12,25,2616274.99,54,Female,Unemployed,1781803,67.12,62.95,11.28
Kolkata,West Bengal,2023,Hacking,72,3,69,4867076.74,53,Male,Doctor,10477044,79.28,63.14,2.93
Howrah,West Bengal,2022,Hacking,494,60,434,3256162.96,24,Female,Business,17124911,84.69,54.93,6.82
Durgapur,West Bengal,2023,Data Breach,243,141,102,765977.74,27,Other,Doctor,2392437,69.67,77.4,6.15
